event_id,signal_type,market,outcome_name,created_at,direction,strength_score,entry_line,entry_price,close_line,close_price,clv_line,clv_prob,metadata_json
6d02351fc9049e70d91ef8f2e483841f,KEY_CROSS,spreads,Phoenix Suns,2026-02-21T06:41:17.327773+00:00,UP,60,-1.5,-110.0,,,,,"{""books"":[""betmgm"",""betonlineag"",""betrivers"",""betus"",""bovada"",""draftkings"",""fanduel"",""lowvig"",""mybookieag""],""components"":{""books_component"":20.0,""magnitude_component"":10.0,""speed_component"":29.7},""key_cross"":true,""magnitude"":0.5,""outcome_name"":""Phoenix Suns""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Over,2026-02-21T06:41:17.327773+00:00,DOWN,70,218.5,-115.0,,,,,"{""books"":[""betmgm"",""betonlineag"",""betrivers"",""betus"",""bovada"",""draftkings"",""fanduel"",""lowvig"",""mybookieag""],""components"":{""books_component"":20.0,""magnitude_component"":20.0,""speed_component"":29.8},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Over""}"
6d02351fc9049e70d91ef8f2e483841f,KEY_CROSS,spreads,Phoenix Suns,2026-02-21T06:51:17.327773+00:00,UP,54,-1.5,-115.0,,,,,"{""books"":[""betmgm"",""betonlineag"",""betrivers"",""betus"",""bovada"",""draftkings"",""fanduel"",""lowvig"",""mybookieag""],""components"":{""books_component"":20.0,""magnitude_component"":10.0,""speed_component"":24.0},""key_cross"":true,""magnitude"":0.5,""outcome_name"":""Phoenix Suns""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Over,2026-02-21T06:56:17.327773+00:00,DOWN,70,218.5,-115.0,,,,,"{""books"":[""betmgm"",""betonlineag"",""betrivers"",""betus"",""bovada"",""draftkings"",""fanduel"",""lowvig"",""mybookieag""],""components"":{""books_component"":20.0,""magnitude_component"":20.0,""speed_component"":29.8},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Over""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Over,2026-02-21T17:48:17.327773+00:00,DOWN,62,217.5,-112.0,,,,,"{""books"":[""betmgm"",""draftkings"",""fanduel""],""components"":{""books_component"":12.0,""magnitude_component"":20.0,""speed_component"":29.8},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Over""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Over,2026-02-21T18:19:17.327773+00:00,DOWN,58,216.5,-115.0,,,,,"{""books"":[""betmgm"",""draftkings""],""components"":{""books_component"":8.0,""magnitude_component"":20.0,""speed_component"":29.8},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Over""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Under,2026-02-21T18:19:17.327773+00:00,DOWN,58,216.5,-105.0,,,,,"{""books"":[""betmgm"",""draftkings""],""components"":{""books_component"":8.0,""magnitude_component"":20.0,""speed_component"":29.8},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Under""}"
6d02351fc9049e70d91ef8f2e483841f,KEY_CROSS,spreads,Orlando Magic,2026-02-21T18:45:17.327773+00:00,UP,40,2.5,-115.0,,,,,"{""books"":[""betmgm""],""components"":{""books_component"":4.0,""magnitude_component"":20.0,""speed_component"":15.59},""key_cross"":true,""magnitude"":1.0,""outcome_name"":""Orlando Magic""}"
6d02351fc9049e70d91ef8f2e483841f,KEY_CROSS,spreads,Phoenix Suns,2026-02-21T18:45:17.327773+00:00,DOWN,40,-2.5,-105.0,,,,,"{""books"":[""betmgm""],""components"":{""books_component"":4.0,""magnitude_component"":20.0,""speed_component"":15.59},""key_cross"":true,""magnitude"":1.0,""outcome_name"":""Phoenix Suns""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Over,2026-02-21T18:45:17.327773+00:00,UP,48,218.5,-105.0,,,,,"{""books"":[""betmgm"",""draftkings""],""components"":{""books_component"":8.0,""magnitude_component"":20.0,""speed_component"":20.39},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Over""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Under,2026-02-21T18:45:17.327773+00:00,UP,48,218.5,-115.0,,,,,"{""books"":[""betmgm"",""draftkings""],""components"":{""books_component"":8.0,""magnitude_component"":20.0,""speed_component"":20.39},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Under""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Over,2026-02-21T19:28:17.327773+00:00,DOWN,39,217.5,-112.0,,,,,"{""books"":[""draftkings"",""fanduel""],""components"":{""books_component"":8.0,""magnitude_component"":20.0,""speed_component"":10.79},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Over""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Under,2026-02-21T19:28:17.327773+00:00,DOWN,39,217.5,-108.0,,,,,"{""books"":[""draftkings"",""fanduel""],""components"":{""books_component"":8.0,""magnitude_component"":20.0,""speed_component"":10.79},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Under""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Over,2026-02-21T20:41:17.327773+00:00,DOWN,48,217.5,-110.0,,,,,"{""books"":[""betmgm"",""draftkings""],""components"":{""books_component"":8.0,""magnitude_component"":20.0,""speed_component"":20.4},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Over""}"
6d02351fc9049e70d91ef8f2e483841f,MOVE,totals,Under,2026-02-21T20:41:17.327773+00:00,DOWN,48,217.5,-110.0,,,,,"{""books"":[""betmgm"",""draftkings""],""components"":{""books_component"":8.0,""magnitude_component"":20.0,""speed_component"":20.4},""key_cross"":false,""magnitude"":1.0,""outcome_name"":""Under""}"
